component,explained_variance_ratio,cumulative_explained_variance
1,0.0642297048893107,0.0642297048893107
2,0.04226939056645765,0.10649909545576834
3,0.032104057623476914,0.13860315307924526
4,0.0271267251328185,0.16572987821206375
5,0.02530531168354171,0.19103518989560547
6,0.022550456787385226,0.2135856466829907
7,0.019879670523795454,0.23346531720678615
8,0.018600888056172122,0.25206620526295825
9,0.01618516411334219,0.26825136937630045
10,0.015206228611675032,0.2834575979879755
11,0.014037805012552303,0.2974954030005278
12,0.012857381726598309,0.3103527847271261
13,0.01248161689886457,0.32283440162599064
14,0.010659200409040111,0.33349360203503076
15,0.010540753022921193,0.34403435505795193
16,0.010446672662013714,0.35448102771996565
17,0.010049554174956201,0.3645305818949218
18,0.009780310565822027,0.37431089246074384
19,0.009414801074931959,0.3837256935356758
20,0.00886418409274601,0.39258987762842185
21,0.008540372168921711,0.4011302497973436
22,0.008476538783051003,0.40960678858039457
23,0.00748555455875394,0.4170923431391485
24,0.007410070791819909,0.42450241393096844
25,0.00721934797583074,0.4317217619067992
26,0.00695883723913626,0.43868059914593543
27,0.006477585931705219,0.44515818507764066
28,0.006416079980947845,0.4515742650585885
29,0.0061296459632297785,0.4577039110218183
30,0.005771132987042881,0.4634750440088612
31,0.00558709019180493,0.4690621342006661
32,0.005534808036947553,0.4745969422376137
33,0.005364843286996841,0.4799617855246105
34,0.00521961274456379,0.4851813982691743
35,0.0051235180681060005,0.4903049163372803
36,0.004979040289735853,0.49528395662701613
37,0.004932031986454621,0.5002159886134707
38,0.004818765016486191,0.5050347536299569
39,0.0047583308853950896,0.509793084515352
40,0.004645375734489867,0.5144384602498419
41,0.004478903568479869,0.5189173638183218
42,0.004451065930065771,0.5233684297483875
43,0.004400723035596348,0.5277691527839838
44,0.00432317056455155,0.5320923233485354
45,0.004174517716034244,0.5362668410645697
46,0.004094120476450407,0.5403609615410201
47,0.00408471256374596,0.5444456741047661
48,0.004053742138530861,0.5484994162432969
49,0.0040333909381815485,0.5525328071814785
50,0.004008350150899084,0.5565411573323775
51,0.003971035038689486,0.560512192371067
52,0.0038722745373057674,0.5643844669083727
53,0.003783752455975138,0.5681682193643479
54,0.0037508512305744297,0.5719190705949223
55,0.0037002956148126736,0.575619366209735
