wap,mean_abs_coef
WAP140,0.38976180748008865
WAP248,0.3896090851023347
WAP011,0.32708583802608904
WAP501,0.2893580713458312
WAP036,0.2846563962496171
WAP035,0.2816285297403429
WAP012,0.2795934261334454
WAP204,0.2709956174540434
WAP052,0.26962999926792736
WAP122,0.2629976810408243
WAP203,0.26166289708712226
WAP114,0.2568014695113704
WAP144,0.2553553043663369
WAP172,0.25487513835580794
WAP117,0.25393802935540843
WAP161,0.25289246476065363
WAP142,0.2506928544450398
WAP132,0.24941492683213065
WAP162,0.24835018357406435
WAP145,0.24445173291856784
WAP077,0.2395468459370986
WAP143,0.23601120916767784
WAP040,0.2345740297027456
WAP083,0.23381023571491671
WAP118,0.2331689404624597
WAP043,0.2329339272072388
WAP127,0.23234852976422082
WAP067,0.23024196965808666
WAP042,0.22358296967597285
WAP033,0.22285901006292527
