reduction_method,classifier_name,n_components,accuracy,balanced_accuracy,macro_f1,weighted_f1
LDA_projection,logistic_regression,2,0.5301530153015301,0.41214855482681967,0.37262586884703275,0.519858986964937
LDA_projection,knn,2,0.6327632763276327,0.5372491099527631,0.5150620487585879,0.6335245427407816
LDA_projection,logistic_regression,5,0.8415841584158416,0.8060722507550108,0.7945494192460484,0.8429686319078852
LDA_projection,knn,5,0.8262826282628263,0.7979557814179508,0.7899901622462154,0.8279463801733082
LDA_projection,logistic_regression,10,0.9054905490549054,0.8897652984832582,0.8815384363038743,0.9050633532361543
LDA_projection,knn,10,0.8892889288928892,0.8701626972825138,0.855929922078533,0.8901389302393757
LDA_projection,logistic_regression,12,0.8928892889288929,0.8849556785465149,0.8677232276012454,0.8925551667159656
LDA_projection,knn,12,0.8937893789378938,0.8846009403524518,0.8656742383984052,0.893809595967759
