label,precision,recall,f1-score,support
B0_F0,0.5225225225225225,0.7435897435897436,0.6137566137566137,78.0
B0_F1,0.5948275862068966,0.6634615384615384,0.6272727272727273,208.0
B0_F2,0.536,0.40606060606060607,0.46206896551724136,165.0
B0_F3,0.7230769230769231,0.5529411764705883,0.6266666666666667,85.0
B1_F0,0.65625,0.7,0.6774193548387096,30.0
B1_F1,0.9,0.6293706293706294,0.7407407407407407,143.0
B1_F2,0.5267175572519084,0.7931034482758621,0.6330275229357798,87.0
B1_F3,0.6511627906976745,0.5957446808510638,0.6222222222222222,47.0
B2_F0,0.2564102564102564,0.8333333333333334,0.39215686274509803,24.0
B2_F1,0.8311688311688312,0.5765765765765766,0.6808510638297872,111.0
B2_F2,0.6097560975609756,0.46296296296296297,0.5263157894736842,54.0
B2_F3,0.42857142857142855,0.225,0.29508196721311475,40.0
B2_F4,0.5818181818181818,0.8205128205128205,0.6808510638297872,39.0
macro avg,0.6014063211758153,0.6155890397281326,0.5829562739263211,1111.0
weighted avg,0.6393998143192455,0.6012601260126013,0.603225823793117,1111.0
