model,family,accuracy,balanced_accuracy,macro_f1,weighted_f1,fit_seconds,predict_seconds,n_classes
random_forest,non_parametric,0.9081908190819082,0.8921308346119449,0.8923798276902578,0.909476787975489,0.40412020799703896,0.02719275001436472,13
logistic_regression,parametric,0.8820882088208821,0.8846572218723001,0.8699550524770046,0.8836969047253083,0.20964562520384789,0.0008029579184949398,13
lda,parametric,0.8883888388838884,0.8718228755538324,0.8466706832242198,0.8905848250723369,0.3041942920535803,0.00026504206471145153,13
knn,non_parametric,0.7938793879387939,0.8026729904731833,0.7931540328324164,0.7958314709161084,0.023424915969371796,0.05898016691207886,13
qda_pca50,parametric,0.7371737173717372,0.7677063964645341,0.7309036867521003,0.7421336684872141,0.06347333290614188,0.0016045828815549612,13
decision_tree,non_parametric,0.6867686768676867,0.6642010402396396,0.6763643444028704,0.7018984825487515,0.26658583292737603,0.0005317500326782465,13
qda_raw,parametric,0.6012601260126013,0.6155890397281326,0.5829562739263211,0.603225823793117,0.3884465841110796,0.012301249895244837,13
